danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.277,0.0148,9,-33.992,1,0.035,0.994,0.917,0.103,0.153,138.564,audio_features,4sh6V9AnglIBepfD5mTyqn,spotify:track:4sh6V9AnglIBepfD5mTyqn,https://api.spotify.com/v1/tracks/4sh6V9AnglIBepfD5mTyqn,https://api.spotify.com/v1/audio-analysis/4sh6V9AnglIBepfD5mTyqn,309600,4
0.161,0.0321,9,-22.425,0,0.0556,0.976,0.7,0.0963,0.138,178.018,audio_features,7q2DehTTvivpurQfe41iCy,spotify:track:7q2DehTTvivpurQfe41iCy,https://api.spotify.com/v1/tracks/7q2DehTTvivpurQfe41iCy,https://api.spotify.com/v1/audio-analysis/7q2DehTTvivpurQfe41iCy,206520,5
0.221,0.0612,0,-21.344,1,0.0392,0.97,0.491,0.0661,0.0692,104.181,audio_features,2buQqAGeQDkkUySsKyoDQJ,spotify:track:2buQqAGeQDkkUySsKyoDQJ,https://api.spotify.com/v1/tracks/2buQqAGeQDkkUySsKyoDQJ,https://api.spotify.com/v1/audio-analysis/2buQqAGeQDkkUySsKyoDQJ,329653,3
0.447,0.327,4,-16.489,1,0.0432,0.864,0.0224,0.085,0.565,100.439,audio_features,0EnEULk14Oso59QtQHVUoC,spotify:track:0EnEULk14Oso59QtQHVUoC,https://api.spotify.com/v1/tracks/0EnEULk14Oso59QtQHVUoC,https://api.spotify.com/v1/audio-analysis/0EnEULk14Oso59QtQHVUoC,445624,4
0.0746,0.0327,0,-27.191,0,0.0412,0.959,0.886,0.087,0.0504,75.083,audio_features,7lY6qt63y0Ag5lpHMVglLo,spotify:track:7lY6qt63y0Ag5lpHMVglLo,https://api.spotify.com/v1/tracks/7lY6qt63y0Ag5lpHMVglLo,https://api.spotify.com/v1/audio-analysis/7lY6qt63y0Ag5lpHMVglLo,403333,3
0.335,0.0118,1,-23.89,1,0.0406,0.992,0.933,0.085,0.0805,91.146,audio_features,5wDBBKEIiDYwPQj4SpbBPI,spotify:track:5wDBBKEIiDYwPQj4SpbBPI,https://api.spotify.com/v1/tracks/5wDBBKEIiDYwPQj4SpbBPI,https://api.spotify.com/v1/audio-analysis/5wDBBKEIiDYwPQj4SpbBPI,290933,4
0.404,0.182,0,-18.564,0,0.047,0.871,0.789,0.3,0.206,98.539,audio_features,3FtVBG9AY9KEIXcMhCUrAG,spotify:track:3FtVBG9AY9KEIXcMhCUrAG,https://api.spotify.com/v1/tracks/3FtVBG9AY9KEIXcMhCUrAG,https://api.spotify.com/v1/audio-analysis/3FtVBG9AY9KEIXcMhCUrAG,418000,4
0.447,0.0773,10,-25.568,1,0.0519,0.986,0.867,0.125,0.53,101.229,audio_features,6ZJ9lLDRwr5w5oCuRHhBHx,spotify:track:6ZJ9lLDRwr5w5oCuRHhBHx,https://api.spotify.com/v1/tracks/6ZJ9lLDRwr5w5oCuRHhBHx,https://api.spotify.com/v1/audio-analysis/6ZJ9lLDRwr5w5oCuRHhBHx,52929,5
0.425,0.00472,7,-37.89,1,0.0479,0.996,0.953,0.0985,0.484,81.93,audio_features,4nd6FMCfNFWkbi2dnsf5I3,spotify:track:4nd6FMCfNFWkbi2dnsf5I3,https://api.spotify.com/v1/tracks/4nd6FMCfNFWkbi2dnsf5I3,https://api.spotify.com/v1/audio-analysis/4nd6FMCfNFWkbi2dnsf5I3,190560,3
0.361,0.0437,10,-27.32,0,0.0643,0.994,0.756,0.118,0.18,162.158,audio_features,595G0No6FI82sWWsbsQEoX,spotify:track:595G0No6FI82sWWsbsQEoX,https://api.spotify.com/v1/tracks/595G0No6FI82sWWsbsQEoX,https://api.spotify.com/v1/audio-analysis/595G0No6FI82sWWsbsQEoX,107000,4
